ruling_id,branch,subject,sub_subject,ruling,telegram_msg_id,source_issue,status
1,runtime-v3-langgraph,the plan,"a TEST, not a final decision","**We are running a TEST: can this system be built on LangGraph. The final decision comes later** (#6346). Nothing here commits us. What the test has to show is that the flow, the gates, the engine calls and the record all work end to end on real work. Context: both consult rounds rejected the custom dispatch engine of the old specification, which is why the test is worth running.","#6287, narrowed #6346",GOL-384,in force
2,runtime-v3-langgraph,the approval surface,"Telegram, in this chat, and the final shape is open","**The approval surface is Telegram.** A gate stops the graph, the question goes to the chat, and the reply resumes the run carrying the decision, the actor and the message id as provenance. **In phase A it is THIS chat and the existing bot** — shared channel, not shared code: the runtime holds its own token and chat id and imports nothing from `/srv/golem`. **The final shape — its own bot, its own channel, or this one — is decided later** (#6346).","#6270, #6333, #6346",GOL-384,in force
3,runtime-v3-langgraph,separation,"a new user, a new tree, a new repository","**The existing Interface creates ONE OS user for the runtime. The tree is `/srv/runtime`, a separate directory. The repository is new.** No existing user, no existing structure, nothing shared with `/srv/golem`. The old system keeps running untouched beside it, and cutover is a decision rather than an accident.","#6287, #6321",GOL-384,in force
4,runtime-v3-langgraph,definitions,one source of truth; the format is a professional judgement,"**One source of truth per definition: it lives in exactly one place and is never duplicated.** **The FORM is chosen per definition by what is professionally correct** — JSON where the thing has structure, CSV where a table makes sense, generated from the code where that is genuinely the right shape. No blanket rule about format, and no definition in two places.","#6237, #6257, rewritten #6331",GOL-384,in force
8,runtime-v3-langgraph,artefacts,heavy files never enter git,"**CAD output, renders and any large binary live in a directory on the host with a backup; the system keeps the pointer and the metadata.** The file-size gate is what stops one slipping into a commit.",#6255,GOL-384,in force
10,runtime-v3-langgraph,isolation,"a rootless container per agent, in phase one","**Each agent runs in its own rootless container and sees only the directories mounted into it.** The OS identity matrix — users, groups, ACLs, sudoers tiers — is not ported; it is deleted, and each agent's access becomes one mount list. An agent is no longer an operating-system entity: it is a row in a table and a run in a container.",#6242,GOL-384,in force
19,runtime-v3-langgraph,how a step gets a model,"the flow declares DIFFICULTY, the routing layer chooses the model","**A flow row never names a model. It declares how HARD its work is, and the routing layer alone turns hardness into a model** (#6833). New column `difficulty` on the flow table, one value: `high` or empty. `high` is mapped by `engine_for_high_difficulty` in the control table; everything else keeps the route of its own agent row. This is what lets a run be expensive exactly where it must be without the iron rule bending: the row states a property of the WORK, which a table is entitled to know, and the model name lives only in the routing layer. **Ten rows of design-robot are `high`**, chosen by one rule -- expensive wherever a mistake is not caught later: 3 the capability list, 9 propose alternatives, 11 filter against the spec, 14 select chassis/wheels/drive/gripper, 20 choose parts, 25 make them better, 29 cross-check combinations, 31 apply the simulation conclusions, 39 model from a picture, 43a the final CAD. Runners-up considered and not taken: 34 and 42. Measured cost: sol is $4/$20 per M against luna's $0.20/$1.20, about 17x, so those ten rows carry the bill and the other 24 are close to free.","#6827, approved #6833",GOL-384,in force
21,runtime-v3-langgraph,what an agent is told,"role, tools, rules and the TEXT of its skills - all from the tables","**An agent carries its skills' TEXT into every step, not their names** (#6838). Measured first, because the Interface had reported this as missing twice when it was half-built already: `system_prompt()` in compiler.py had been wired earlier the same day and was already passing role, tools and four iron rules. What was genuinely absent was the skills. Three things were done. **One:** fourteen skills were brought into `/srv/runtime/skills/`, TRANSLATED INTO ENGLISH on the way - nine of them were written in Hebrew, which the constitution forbids for LLM-facing content. **Two:** the `skills` column of `agents.csv`, empty on every row, now names them for the five agents that do the design-robot work, and `_skill_bodies()` inlines the file under a budget, `skill_chars_in_prompt`, with any truncation announced inside the prompt rather than silent. **Three:** every `note` in `agents.csv` had been cut at exactly 120 characters when the table was built, so nine agents were describing their own role in a sentence that stopped mid-word; the full text was restored from `_meta/agents_table.csv`. **The skills are a duplicate of `/srv/golem`, on the same terms as ruling 20** - deliberate, recorded, and to be resolved at the end of the build.",#6838,GOL-384,in force
22,runtime-v3-langgraph,the review between steps,"forward-only: it sharpens the next step, it never sends work back","**Between every step and the next, the Interface reads the deliverable and judges whether it is accurate enough - and if it is not, it does NOT send it back** (#6842). The run only ever moves forward. What the review produces is an instruction that makes the NEXT step sharper: what to verify, what to treat as unproven, what to compensate for, what was assumed. A review with nothing to say answers `OK` and costs one line. **Why forward-only and not a redo:** a redo would double the cost of exactly the expensive steps, would need its own ceiling to terminate, and would put a branch in the graph; one short forward call is the cheap shape of the same idea. Measured on a full echo run: 34 reviews on 34 working steps, and about two cents a run on the Interface's own cheap route. Two cells govern it - `forward_review` on/off and `forward_note_chars`. A review that throws is swallowed and recorded: it must never be the thing that kills a run.","#6842, #6844",GOL-384,in force
23,runtime-v3-langgraph,the closing report,"three sections, one call, written from what the run already produced","**Every run ends by writing its own closing report** (#6847), in exactly three sections Yakov named: **one, THE FLOW ITSELF** - what to change in the flow table: rows that earned nothing, rows that are missing, an order that fought the work, a gate that added nothing or one that was needed and absent, a loop that never fired, by step number. **Two, THE CONTENT** - where the engineering was thin, what was asserted without evidence, what was assumed and never checked, which deliverable would not survive a reader who knows the subject. **Three, THE WHOLE THING** - what the run is worth and every improvement worth making, most valuable first, each with its cost. It is written from what the run ALREADY produced - the running critique the between-step reviews wrote (ruling 22), the trace, and what the record measured - so it costs one call and invents nothing. **It runs on the high-difficulty route deliberately**: it is the single artefact a human reads end to end. It lands as a file beside the run summary and its path is announced on the gate channel. Governed by `closing_report`.",#6847,GOL-384,in force
