flow_group,issue_tree,flow_name,step,phase,kind,actor,engine,may_ask,action,input,output,destination,template,agent_confidence_threshold,enforcement_validation_confidence_threshold,mandatory_tags,status_after,next,loop_back_to,loop_ceiling,call_flow,return_to,must_answer,notes
core,run,F0-classify,1,intake,agent-step,Interface,,,Receive Yakov messages / merge within the window / understand / prioritise / decide which flow handles this task / decide which folder this run's durable outputs go to / decide the placement - which team and which project this run's issues land in / compose the instruction kit: owner agent / task / files and context / Flow ID / declared output / validation value / dry-run tag if requested,${yakov_message},issue,linear,8fbeb654-b465-4e35-91f3-25793a19417d,85,90,,Todo,F2-single:2 / design-robot:1 / END:Done,,,,,,"merged from the former steps 1-3 on Yakov #2819 - in practice one act of the Interface. Carries a confidence figure. Backlog -> Todo. Flow ID is a mandatory field on the issue (ruling 6), which is how step 2 learns the target. Yakov #2828: the Interface decides, per flow run, which folder the run's outputs land in - design-robot lands under the project folder. That decision IS the ${product_path} run parameter, which is what keeps the flow from knowing the product (ruling 18) Yakov #3337: the old step 2 - the Orchestrator moving the marker into the chosen flow - is deleted. It produced nothing and decided nothing, and the Todo row of the status table already instructs the Orchestrator to dispatch. Its three targets moved here. Yakov #5076: the landing project is NOT a column - it is decided here, by the Interface, from context, and becomes the ${placement} run parameter. The same shape as ${product_path}. A flow with no Interface has no decision to make: its placement is burned per flow in flow_params. Yakov #5183: F1-direct is DELETED. The flow system exists so the Interface can hand work to other agents - that is what dispatch is. An Interface acting on its own is not forced through a flow, and an issue it opens for anyone, itself included, re-enters through the views like any other. END:Done is the exit for a message answered directly, where no task is born."
ops,run,F2-single,2,execute,agent-step,${agent},,,Execute. Worklog persisted after EVERY step,${issue},per declared type,${destination},,85,90,,In Progress,F2-single:5,,,,,,persistence is what makes the stop-note possible
ops,run,F2-single,5,report,agent-step,Orchestrator,,,Post the result comment to the issue,F2-single:2,comment,linear,,85,90,,-,END:Done / END:Validated,,,,,,
ops,run,F2-single,E2,exit,wait-external,${agent},,,EXIT - needs an answer. Suspend / release the slot / tag Waiting for: Interface or Yakov,F2-single:2,,,,85,90,,Waiting,F2-single:2,F2-single:2,4,,,,"answer <=1h resume warm at FRONT of queue; >1h restart cold; 24h no answer -> blocked + alert ; the ceiling read the word ""rounds"", which is neither a number nor the name of anything - unreadable, so unbraked (Yakov #5692) ; the ceiling is a plain NUMBER - the column carries no names (Yakov #5709)"
ops,run,F2-single,E3,exit,wait-external,${agent},,,EXIT - waiting on the outside world. Suspend / release the slot / attach Waiting for: Dependency and fill ^Dependency details^ with what is missing and who holds it. Set a native blocked-by relation only where a real issue exists to point at; no placeholder issue is opened for the outside party (ruling 69),F2-single:2,,,,85,90,Waiting for: Dependency,Waiting,F2-single:2,,4,,,,"the ceiling was EMPTY, which is no limit at all: this exit returns to step 2, so a task could suspend and resume for ever (Yakov #5692) ; the ceiling is a plain NUMBER - the column carries no names (Yakov #5709)"
ops,run,F2-single,E4,exit,agent-step,${agent},,,EXIT - capability gap. Deduped Telegram alert; attach Waiting for: Dependency and fill ^Dependency details^ with the capability that is missing and who holds it; suspend and release the slot. No sub-issue is opened (ruling 69) - the Interface brings the case to Yakov and the two of them decide what to do with it,F2-single:2,,,,85,90,Waiting for: Dependency,Waiting,END:Waiting,,,,,,"deliberately NOT routed through the failure/self-fix chain. It opens nothing: ruling 69 forbids an agent opening a task for another agent, so the gap is marked and raised, not filed"
ops,run,F2-single,E7,exit,human-gate,Yakov,,,EXIT - Yakov presses stop. Killed immediately; Orchestrator writes a note from the persisted worklog,F2-single:2,comment,linear,,,90,Waiting for: Yakov,Waiting,END:Waiting,,,,,,note says what completed and which step was in flight
ops,run,any,E0,exit,agent-step,Interface,,,"EXIT - no row answers this case. Hand the issue back in Failed with the reason 'missing appropriate flow', open a spec issue for the missing row, and set the issue blocked-by it. Applies to every flow and every step.",,issue,linear,8fbeb654-b465-4e35-91f3-25793a19417d,85,90,,Failed,END:Failed,,,,,,"the catch-all (Yakov #3642, approved #3688). It firing means the tables are incomplete - the fix is a row, not a branch. It must record the unmatched input: status, tags, step, flow. The same signature twice means the row we added did not cover it"
design,run | phase | step,design-robot,1,1 mission,agent-step,Interface,,,"Frame the working environment: door width / max weight / wall height. Create this run's phase milestones in the run's project, one per distinct value of the phase column of this flow, named from the run and the phase",${mission_request},file,product,,85,90,,In Progress,design-robot:2,,,,,,"writes requirements_spec.md. Elicited FROM Yakov; the actor is the Interface (one actor per step) and Yakov approves at step 4 ruling 103/104: the phase level is a Linear project milestone, not an issue. The names come from this flow's own phase column, so no second list of phases exists. Linear refuses a duplicate milestone name in a project - measured 2026-08-27 - so two runs in one project cannot merge silently"
design,run | phase | step,design-robot,2,1 mission,agent-step,Interface,,,Frame the materials: blocks / tiles / mortar,${mission_request} | design-robot:1,file,product,,85,90,,In Progress,design-robot:3,,,,,,
