tool,kind,what it does,note
Bash,execution,Runs a shell command as the agent's own OS user,"the widest tool there is: everything the OS user may do, it may do. Our own scripts - md2pdf, gibberish_check, run_fea - are reached THROUGH it and are not separate rows, because the permission that matters is Bash itself"
Read,read,Reads a file,
Glob,read,Finds files by name pattern,
Grep,read,Searches file contents,
Write,write,Creates or overwrites a file,
Edit,write,Changes part of an existing file,
NotebookEdit,write,Changes a cell in a Jupyter notebook,
WebSearch,network,Searches the web,leaves the machine
WebFetch,network,Fetches a URL,leaves the machine
Task,delegation,Starts a sub-agent,a tool that creates another runner - the only row here that multiplies a permission rather than using one
Skill,capability,Loads a declared skill,which skills are loadable is the catalogue's answer (rulings 143-145), not this table's
TodoWrite,bookkeeping,Keeps the run's own task list,no effect outside the run
Vision,read,Looks at an image - a URL or a file the agent may read - and answers a question about it,the image never enters the graph state; the bridge is the only process that reads the file and it already holds every credential
Consult,delegation,Asks a SECOND engine for an independent opinion on one question,"the asker does not choose the engine - it asks for an answer that is not the primary route's, and the routing layer decides which that is. This is the cross-agency second-engine-crosscheck skill, as a tool"
ImageSearch,network,Finds images on the web and returns their URLs and the pages they came from,the same Custom Search key with searchType=image. Step 7 of design-robot - collect competitor images - is what needs it
YouTube,network,"Searches YouTube for videos - product demonstrations, teardowns, field footage","YouTube Data v3 on the shared google_api_key, ~10k units a day free"
Translate,network,Translates text into a target language,for a source that is not in English. Google Translate v2 on the shared google_api_key
OCR,network,Reads a scanned document or PDF at a URL and returns its text,"Mistral OCR: 170 languages including Hebrew, and it reads a scan rather than only a PDF text layer"
