control,branch,value,unit,description,read_by,ruling,note
resume_window,dispatch,60,minutes,An agent that stopped to ask RESUMES with its saved context when the answer arrives inside this window,the wake mechanism,1 / A2 approved #5200,"the principle - resume rather than restart - is Yakov's; the number was an Interface proposal, approved at #5200 and changeable here. AND the clock does not run while the resuming agent waits for a slot (Yakov #5358) - front-of-queue is not preemption, so a queue wait could otherwise eat the window and cold-restart an agent whose answer arrived in time"
cold_restart_after,dispatch,60,minutes,Past the resume window the agent is RESTARTED with the answer instead of resumed,the wake mechanism,1 / A2 approved #5200,"the same boundary read from the other side - one value, stated twice on purpose so neither reading needs arithmetic"
blocked_after,dispatch,24,hours,A suspended agent still without an answer is BLOCKED,the wake mechanism,1 / A2 approved #5200,
queue_reentry,dispatch,front,position,Where a resuming agent re-enters the queue,the queue,1 / A2 approved #5200,not a number - a position; front or back are the only values
silence_kill,dispatch,10,minutes,A run is killed after this long with NO output at all. The clock starts when the process comes up and resets on every line,the run supervisor,70,"there is no wall-clock limit on a task. NO CLOCK RUNS WHILE A RUN IS WAITING - not for a dispatch slot and not for the Claude seat (Yakov #5358). The silence clock starts when the run actually begins producing, because a run queued for the seat is a live process with nothing to say, and killing it for that would be killing it for waiting"
heartbeat_interval,dispatch,5,minutes,"Last-resort liveness check, and only when no run is live or the slot is held",the wake mechanism,64,"asks whether the process exists; the silence-kill asks whether it is producing anything. Two mechanisms, never merged"
automatic_attempts,dispatch,2,count,How many attempts run without Yakov. Beyond this the issue waits for his word,the Failed status row,71,there is no ceiling on the NUMBER of attempts - only on how many run without him. It counts ROUNDS OF THE FLOW and never a script's own internal retries - the two counters are deliberately separate and neither counts the other (Yakov #5251)
concurrent_tasks,dispatch,3,count,How many dispatched runs may be LIVE at once. Engine-blind: the dispatch engine never knows and never asks which engine a run will land on,the Orchestrator,48 / A3 ruled #5324,"the ONLY capacity statement in the specification. It counts dispatched runs, nothing else - the Orchestrator's own judgment calls are not dispatched tasks and are not counted here. It is NOT the Claude seat: the seat is one concurrent session on the subscription, it is not ours, it is not a dial, and it is enforced inside the shared queue after routing has chosen - never by the Orchestrator, which is forbidden to ask which engine a run gets. Throughput is therefore (runs off Claude, genuinely parallel) + (runs on Claude, one at a time), and the mix is a routing decision, not a value here"
status_write_retries,dispatch,3,count,A status write to Linear is retried this many times before it is surfaced,the Linear writer,72,"a status write is STATE - lost, it strands an issue holding the slot"
comment_send_attempts,dispatch,1,count,A comment is sent once and never retried,the Linear writer,72,"a comment is a MESSAGE - lost, it costs information, not correctness. The asymmetry with status writes is deliberate"
step_retry_attempts,dispatch,3,count,"How many times a DETERMINISTIC step retries its own operation before it reports failure - a dropped IMAP connection, a timed-out request",the owner of the step,R3 ruled #5251,"the step's own retry belongs to the step's owner; the flow loop counts rounds of the FLOW. Two counters, two meanings, and neither counts the other - which is what stops three script tries times two flow attempts becoming six. The number is an Interface proposal and is meant to be changed here"
lease_ttl,dispatch,15,minutes,How long a task claim stays valid without a heartbeat refresh. Past it the claim is dead and the issue may be recovered,the recovery routine,22 / A3 ruled #5324,"three missed heartbeats at the 5-minute interval. This is what lets recovery tell a LIVE worker from a dead one - under parallelism the old inference ""nothing else is dispatching, so an In Progress issue was cut off"" is false and would revert live work"
orchestrator_judgment_priority,dispatch,high,queue priority,The priority the Orchestrator's own judgment calls take in the shared queue,the queue,A3 / Yakov #5358,"not a number - a position, the same value the Interface holds. Without it the Orchestrator queues BEHIND agents it dispatched itself, and while it waits the single dispatch loop cannot dispatch, close or render anything. Priority inversion, and it exists only under parallelism. Non-preemptive as always: it waits at most one in-flight run"
conversation_rounds_max,dispatch,4,count,How many question-and-answer rounds one agent-to-agent conversation may run before the issue goes to Yakov,the Orchestrator,154 / Yakov #5709,"The count is DERIVED from the issue tag-attachment history and is never stored in a field (Yakov #5666) - a stored counter is a counter someone forgets to update. Two agents at most, always: the cap bounds the ROUNDS, not the participants. Raised from 3 to 4 on Yakov #5709, together with the loop ceilings, so the two do not disagree."
message_split_size,bridge,3900,characters,Longest plain-text piece the bridge puts in one Telegram message before splitting,send() / split_message(),Yakov 2026-08-29 (Mac operator session),"Headroom below Telegram's own 4096 cap for the [i/n] part marker AND for HTML expansion, measured at 1.21-1.22x on a densely formatted Hebrew message. Telegram's 4096 is deliberately NOT a row here - it is their limit, not our decision"
quoted_message_max,bridge,2500,characters,How much of a replied-to message is passed through to the agent,quoted_context(),Yakov #2402,When a passage is highlighted the passage is sent instead of the whole message (Yakov #4937); this bounds both
download_max_size,bridge,20971520,bytes,Largest file the bridge will download from Telegram,save_to_inbox(),Yakov 2026-08-29 (Mac operator session),"= 20 MB. Telegram's getFile ceiling, stated as ours because refusing earlier is a policy choice"
context_alert_tokens,bridge,600000,tokens,Above this the turn carries a visible warning that recall is degrading and the agent may overwrite its own earlier statements,run_claude() / _tag(),Yakov #4395,The warning sits on its own line immediately above the signature
unauth_alert_cooldown,bridge,300,seconds,"Minimum gap between two Telegram alerts about the same unauthorized (kind, user)",_alert_unauth(),Yakov #390,Stops a repeated prober from flooding the group
unauth_issue_cooldown,bridge,3600,seconds,Minimum gap between two Linear security issues about the same unauthorized user,_open_security_issue(),Yakov #390 / GOL-112,"Longer than the Telegram debounce on purpose: an issue is durable and Yakov-routed, so a persistent prober must not flood Linear"
telegram_api_timeout,bridge,30,seconds,Timeout on an ordinary Telegram API call,tg(),Yakov 2026-08-29 (Mac operator session),
file_download_timeout,bridge,180,seconds,Timeout on downloading a file from Telegram,download_file(),Yakov 2026-08-29 (Mac operator session),Larger than the API timeout because the payload is the file itself
voice_send_timeout,bridge,120,seconds,Timeout on uploading a voice reply,send_voice(),Yakov 2026-08-29 (Mac operator session),
helper_subprocess_timeout,bridge,900,seconds,"Timeout on a bridge-spawned helper process (session reconcile, session namer)",_reconcile_session() / _name_session(),Yakov 2026-08-29 (Mac operator session),These shell out precisely so a failure can never hang the poll loop; the timeout is the last guarantee of that
cockpit_call_timeout,bridge,150,seconds,Timeout on a cockpit subprocess call,cockpit path,Yakov 2026-08-29 (Mac operator session),
