id,agent,team,engine,tools,skills,mounts,network,secrets,image,note
100,— (בעלים אנושי),Yakov,,,,,,,,To lead the system to achieve its goals
101,Interface Lead,Interface,openai/gpt-5.6-luna>xai/grok-4.5,Read Write Glob Grep Edit WebSearch WebFetch Translate,,/srv/runtime/tables:ro,open,bridge,docker.io/library/python:3.10-slim,"Bridge between the human and the system. Be available in TG, Zoom, App — receive tasks from Yakov, merge them, open task"
102,Human Awareness,Interface,openai/gpt-5.6-luna>xai/grok-4.5,Read,,/srv/runtime/tables:ro,open,bridge,docker.io/library/python:3.10-slim,Predict the human user's (currently Yakov) state and adapt the output format/timing accordingly
103,STT Correction,Interface,openai/gpt-5.6-luna>xai/grok-4.5,Read,,/srv/runtime/tables:ro,open,bridge,docker.io/library/python:3.10-slim,Fix mis-transcribed words in voice messages from context
104,Data gathering,Research Center,openai/gpt-5.6-luna>xai/grok-4.5,WebSearch WebFetch ImageSearch YouTube OCR Translate Read Write Glob Grep Vision,,/srv/runtime/tables:ro;${product_path}:rw,open,bridge,docker.io/library/python:3.10-slim,Gathers the relevant data and organizes it into a usable package
105,Analyst,Research Center,openai/gpt-5.6-luna>xai/grok-4.5,WebSearch WebFetch Read Write Glob Grep Edit Consult Vision,,/srv/runtime/tables:ro;${product_path}:rw,open,bridge,docker.io/library/python:3.10-slim,"Examines the data, finds patterns, and produces conclusions"
106,Validator,Research Center,openai/gpt-5.6-luna>xai/grok-4.5,Read Glob Grep WebSearch Consult,,/srv/runtime/tables:ro;${product_path}:ro,open,bridge,docker.io/library/python:3.10-slim,"Guards TRUTH — checks whether the data and conclusions are supported, complete, and reliable enough to use (is it correc"
107,Engineering Lead,Engineering,openai/gpt-5.6-luna>xai/grok-4.5,Read Write Glob Grep Edit Bash WebSearch WebFetch Consult Vision,,/srv/runtime/tables:ro;${product_path}:rw,open,bridge,golem-runtime-cad:phase-a,"Leads the robot development work by coordinating design decisions across disciplines, turning requirements into implemen"
108,Rendering,Engineering,openai/gpt-5.6-luna>xai/grok-4.5,Read Write Glob Bash Vision,,${product_path}:rw,open,bridge,golem-runtime-cad:phase-a,"Produce visual outputs that communicate designs, configurations, and presentation-ready results"
109,Integration,Efficiency Center,openai/gpt-5.6-luna>xai/grok-4.5,Read Glob Grep WebFetch OCR,,/srv/runtime/tables:ro;${product_path}:ro,open,bridge,docker.io/library/python:3.10-slim,"Own the reliability, structure, and maintainability of the system integrations that connect the operating environment, c"
110,Secrets Vault,Efficiency Center,,,,,open,bridge,docker.io/library/python:3.10-slim,Guard all credentials — hold secrets in a hard-isolated cage and serve them only via a narrow internal sign/fetch API; k
111,Enforcer,Efficiency Center,,,,/srv/runtime/tables:ro,open,bridge,docker.io/library/python:3.10-slim,"Guards HARD-RULES — a single deterministic enforcement layer (git-hook/CI script, NOT an LLM) that checks every file/out"
112,Orchestrator,Efficiency Center,openai/gpt-5.6-luna>xai/grok-4.5,,,/srv/runtime/tables:ro,open,bridge,docker.io/library/python:3.10-slim,Guards the PROCESS-GATE — does not allow work to proceed unless the new rules are applied (gates on the Enforcer's pass/
113,Resources manager,Efficiency Center,openai/gpt-5.6-luna>xai/grok-4.5,,,/srv/runtime/tables:ro,open,bridge,docker.io/library/python:3.10-slim,Optimize our use of compute resources
114,System Reviewer,Efficiency Center,openai/gpt-5.6-luna>xai/grok-4.5,,,/srv/runtime/tables:ro,open,bridge,docker.io/library/python:3.10-slim,"Guards SYSTEM-HEALTH — runs a daily end-to-end review of the whole system: what ran, what failed, what is stale, plus dr"
115,Simulation,Engineering,openai/gpt-5.6-luna>xai/grok-4.5,Read Write Glob Grep Edit Bash,,${product_path}:rw,open,bridge,golem-runtime-cad:phase-a,"Build and maintain the simulator software itself (multibody/FEA/particle) that design decisions rely on — the tool, not "
116,Reception,Reception,,,,/srv/runtime/tables:ro,open,bridge,docker.io/library/python:3.10-slim,"Receive incoming email, understand it, and file it. That is the whole role"
117,Reception,Reception,,,,/srv/runtime/tables:ro,open,bridge,docker.io/library/python:3.10-slim,"Receive incoming email, understand it, and file it. That is the whole role"
